Epoch,Loss,Time_cutoff
1,4.908,651
2,4.0349,1303
3,3.5777,1956
4,3.4269,2607
5,3.2439,3260
6,3.132,3913
7,3.0554,4565
8,3.0002,5217
9,2.9401,5869
10,2.9675,6521
11,2.9322,7174
12,2.8719,7827
13,2.8455,8480
14,2.8158,9134
15,2.8187,9786
16,2.7919,10439
17,2.7746,11093
18,2.753,11746
19,2.7197,12400
20,2.7335,13053
21,2.7533,13706
22,2.7375,14359
23,2.7306,15012
24,2.7378,15666
25,2.7281,16319
26,2.7486,16973
27,2.7147,17626
28,2.7179,18279
29,2.6734,18932
30,2.7276,19585
31,2.7103,20238
32,2.6977,20891
33,2.6991,21545
34,2.6801,22199
35,2.7039,22853
36,2.6885,23505
37,2.7066,24160
38,2.6818,24812
39,2.6851,25465
40,2.6876,26117
41,2.7009,26771
42,2.6912,27424
43,2.7011,28077
44,2.7073,28731
45,2.6795,29384
46,2.7354,30037
47,2.7032,30689
48,2.7112,31342
49,2.6824,31995
50,2.6995,32648
51,2.7095,33300
52,2.6992,33954
53,2.7209,34608
54,2.71,35262
55,2.7179,35915
56,2.7027,36569
57,2.7267,37222
58,2.6879,37875
59,2.6947,38528
60,2.6848,39181
61,2.6924,39834
62,2.6964,40487
63,2.6993,41141
64,2.7098,41794
65,2.7155,42448
66,2.7237,43101
67,2.6912,43754
68,2.6975,44407
69,2.6857,45059
70,2.7177,45712
71,2.7112,46365
72,2.6954,47019
73,2.6922,47672
74,2.7159,48325
75,2.7028,48978
76,2.7073,49630
77,2.7189,50282
78,2.6902,50935
79,2.7042,51587
80,2.7292,52239
81,2.7245,52890
82,2.7234,53543
83,2.7347,54195
84,2.7489,54863
85,2.7199,55926
86,2.7359,56591
87,2.7288,57243
88,2.7453,57896
89,2.7198,58549
90,2.7353,59201
91,2.7468,59855
92,2.749,60508
93,2.745,61161
94,2.7506,61814
95,2.7454,62467
96,2.7713,63120
97,2.7464,63772
98,2.7402,64425
99,2.7443,65076
100,2.7499,65728
101,2.7404,66380
102,2.7343,67033
103,2.7531,67685
104,2.7245,68338
105,2.747,68991
106,2.7562,69643
107,2.7389,70296
108,2.7618,70948
109,2.7496,71601
110,2.7521,72252
111,2.7638,72904
112,2.7503,73555
113,2.7342,74206
114,2.7496,74859
115,2.7486,75512
116,2.7256,76165
117,2.7731,76818
118,2.7364,77471
119,2.765,78124
120,2.728,78777
121,2.7658,79431
122,2.7435,80084
123,2.7483,80737
124,2.7329,81390
125,2.7742,82043
126,2.7603,82696
127,2.7499,83349
128,2.7717,84002
129,2.731,84654
130,2.7596,85307
131,2.7552,85960
132,2.751,86613
133,2.7314,87265
134,2.7415,87918
135,2.7382,88570
136,2.7453,89223
137,2.7682,89876
138,2.7314,90529
139,2.7517,91181
140,2.7532,91833
141,2.752,92486
142,2.7446,93140
143,2.7529,93792
144,2.7318,94445
145,2.7536,95097
146,2.758,95750
147,2.7341,96403
148,2.7771,97056
149,2.7327,97709
150,2.7543,98361
151,2.7669,99015
152,2.7603,99668
153,2.7531,100321
154,2.7671,100974
155,2.767,101627
156,2.7654,102280
157,2.7733,102933
158,2.7528,103584
159,2.7491,104238
160,2.7523,104890
161,2.7793,105543
162,2.7506,106196
163,2.7653,106849
164,2.7538,107502
165,2.7569,108153
166,2.8007,108805
167,2.7611,109458
168,2.7697,110110
169,2.7468,110763
170,2.7623,111416
171,2.767,112070
172,2.772,112724
173,2.7677,113377
174,2.7805,114030
175,2.7728,114683
176,2.7697,115337
177,2.7987,115990
178,2.7537,116644
179,2.7701,117296
180,2.7704,117950
181,2.7813,118602
182,2.7608,119255
183,2.7723,119908
184,2.7594,120561
185,2.7691,121213
186,2.7921,121866
187,2.788,122518
188,2.7874,123169
189,2.7657,123821
190,2.787,124474
191,2.8047,125126
192,2.7708,125779
193,2.7642,126431
194,2.7753,127085
195,2.7844,127738
196,2.7798,128392
197,2.7922,129044
198,2.7807,129697
199,2.7889,130351
200,2.7846,131003
201,2.7773,131654
202,2.7841,132306
203,2.7949,132957
204,2.7844,133609
205,2.7864,134260
206,2.8052,134912
207,2.7761,135564
208,2.7853,136216
209,2.7709,136869
210,2.7823,137522
211,2.775,138174
212,2.7894,138827
213,2.7596,139480
214,2.7724,140132
215,2.7728,140786
216,2.7804,141439
217,2.784,142092
218,2.758,142744
219,2.7899,143397
220,2.7773,144049
221,2.7794,144703
222,2.7496,145355
223,2.7743,146008
224,2.7512,146660
225,2.7759,147315
226,2.7851,147967
227,2.7725,148620
228,2.7688,149273
229,2.7529,149927
230,2.7926,150580
231,2.7887,151231
232,2.7857,151883
233,2.765,152535
234,2.7739,153187
235,2.7917,153840
236,2.7993,154492
237,2.8031,155143
238,2.779,155797
239,2.7741,156448
240,2.7986,157100
241,2.7794,157753
242,2.7732,158406
243,2.7896,159059
244,2.7908,159712
245,2.8081,160366
246,2.8102,161017
247,2.7889,161669
248,2.7851,162323
249,2.7929,162976
250,2.7814,163629
251,2.7998,164282
252,2.7968,164935
253,2.7895,165587
254,2.779,166240
255,2.7787,166893
256,2.7865,167546
257,2.8214,168199
258,2.8032,168852
259,2.7952,169506
260,2.815,170159
261,2.7972,170812
262,2.7935,171464
263,2.7959,172117
264,2.7872,172770
265,2.81,173423
266,2.8168,174075
